addr,time,in_mean_inter_time,in_std_inter_time,in_mad_inter_time,out_mean_inter_time,out_std_inter_time,out_mad_inter_time,tot_mean_inter_time,tot_std_inter_time,tot_mad_inter_time,in_mean_length,in_std_length,in_mad_length,in_count,out_mean_length,out_std_length,out_mad_length,out_count,tot_mean_length,tot_std_length,tot_mad_length,tot_count,in_mean_payload_data_length,in_std_payload_data_length,in_mad_payload_data_length,out_mean_payload_data_length,out_std_payload_data_length,out_mad_payload_data_length,tot_mean_payload_data_length,tot_std_payload_data_length,tot_mad_payload_data_length
0,75.0,0.0820188,0.0393998,0.0123375,0.0662434,0.0344069,0.02493,0.0382453,0.0158564,0.0108325,51.0,3.7,5.0,5.0,47.8,3.3,1.5,6.0,49.3,3.9,5.0,11.0,9.4,4.4,5.0,10.8,3.3,1.5,9.4,4.4,5.0
8,75.0,0.188547,0.0,0.0,,,,0.188547,0.0,0.0,59.0,0.0,0.0,2.0,,,,0.0,59.0,0.0,0.0,2.0,14.0,0.0,0.0,,,,14.0,0.0,0.0
3,75.0,,,,,,,,,,,,,0.0,59.0,0.0,0.0,1.0,59.0,0.0,0.0,1.0,,,,14.0,0.0,0.0,14.0,0.0,0.0
8,80.0,0.7502,0.0,0.0,,,,0.7502,0.0,0.0,59.0,0.0,0.0,2.0,,,,0.0,59.0,0.0,0.0,2.0,14.0,0.0,0.0,,,,14.0,0.0,0.0
0,80.0,,,,,,,,,,,,,0.0,59.0,0.0,0.0,1.0,59.0,0.0,0.0,1.0,,,,14.0,0.0,0.0,14.0,0.0,0.0
7,80.0,,,,,,,,,,,,,0.0,59.0,0.0,0.0,1.0,59.0,0.0,0.0,1.0,,,,14.0,0.0,0.0,14.0,0.0,0.0
8,85.0,,,,,,,,,,59.0,0.0,0.0,1.0,,,,0.0,59.0,0.0,0.0,1.0,14.0,0.0,0.0,,,,14.0,0.0,0.0
6,85.0,,,,3.329083,0.0,0.0,1.6752745,1.6538085,1.6538085,45.0,0.0,0.0,1.0,56.0,3.0,3.0,2.0,52.3,5.7,6.0,3.0,12.7,3.4,2.0,15.0,1.0,1.0,12.7,3.4,2.0
0,85.0,,,,,,,0.021466,0.0,0.0,53.0,0.0,0.0,1.0,45.0,0.0,0.0,1.0,49.0,4.0,4.0,2.0,12.0,4.0,4.0,8.0,0.0,0.0,12.0,4.0,4.0
8,95.0,1.630135,0.0,0.0,,,,1.630135,0.0,0.0,59.0,0.0,0.0,2.0,,,,0.0,59.0,0.0,0.0,2.0,14.0,0.0,0.0,,,,14.0,0.0,0.0
3,95.0,0.098564,0.0,0.0,0.875042,0.775601,0.775601,0.437521,0.6700977,0.0036455,50.0,0.0,0.0,2.0,55.0,2.8,0.0,3.0,53.0,3.3,3.0,5.0,14.4,1.4,1.0,15.3,0.9,0.0,14.4,1.4,1.0
6,95.0,,,,,,,,,,50.0,0.0,0.0,1.0,,,,0.0,50.0,0.0,0.0,1.0,13.0,0.0,0.0,,,,13.0,0.0,0.0
0,95.0,0.099441,0.0,0.0,0.8343705,0.7358065,0.7358065,0.4305268,0.6579834,0.0036455,53.0,0.0,0.0,2.0,50.0,0.0,0.0,3.0,51.2,1.5,0.0,5.0,14.2,1.5,0.0,13.0,0.0,0.0,14.2,1.5,0.0
8,100.0,0.2522835,0.1725335,0.1725335,,,,0.2522835,0.1725335,0.1725335,59.0,0.0,0.0,3.0,,,,0.0,59.0,0.0,0.0,3.0,14.0,0.0,0.0,,,,14.0,0.0,0.0
6,100.0,0.6948255,1.1278653,0.019181,1.042201,0.0,0.0,0.6232332,0.9609553,0.028479,50.2,3.0,2.0,5.0,52.0,7.0,7.0,2.0,50.7,4.6,4.0,7.0,12.6,3.2,2.0,11.0,3.0,3.0,12.6,3.2,2.0
0,100.0,,,,0.7319298,1.0115191,0.038362,0.6099415,0.9567463,0.028479,45.0,0.0,0.0,1.0,51.7,4.3,2.0,6.0,50.7,4.6,4.0,7.0,12.6,3.2,2.0,13.3,2.7,1.0,12.6,3.2,2.0
7,100.0,,,,,,,,,,,,,0.0,59.0,0.0,0.0,1.0,59.0,0.0,0.0,1.0,,,,14.0,0.0,0.0,14.0,0.0,0.0
8,110.0,1.0718945,0.8957885,0.8957885,,,,1.0718945,0.8957885,0.8957885,59.0,0.0,0.0,3.0,,,,0.0,59.0,0.0,0.0,3.0,14.0,0.0,0.0,,,,14.0,0.0,0.0
7,110.0,,,,,,,,,,,,,0.0,59.0,0.0,0.0,1.0,59.0,0.0,0.0,1.0,,,,14.0,0.0,0.0,14.0,0.0,0.0
3,110.0,,,,,,,,,,,,,0.0,59.0,0.0,0.0,1.0,59.0,0.0,0.0,1.0,,,,14.0,0.0,0.0,14.0,0.0,0.0
8,115.0,1.220971,0.0,0.0,,,,1.220971,0.0,0.0,59.0,0.0,0.0,2.0,,,,0.0,59.0,0.0,0.0,2.0,14.0,0.0,0.0,,,,14.0,0.0,0.0
6,115.0,,,,1.334981,0.0,0.0,0.676577,0.658404,0.658404,45.0,0.0,0.0,1.0,56.0,3.0,3.0,2.0,52.3,5.7,6.0,3.0,12.7,3.4,2.0,15.0,1.0,1.0,12.7,3.4,2.0
0,115.0,0.80595,0.649156,0.649156,0.5572023,0.6743327,0.101799,0.2876517,0.5148973,0.0389265,51.0,4.3,2.0,3.0,49.5,5.7,2.0,4.0,50.1,5.2,4.0,7.0,9.7,4.3,4.0,10.5,2.6,2.0,9.7,4.3,4.0
0,120.0,,,,,,,0.031121,0.0,0.0,53.0,0.0,0.0,1.0,45.0,0.0,0.0,1.0,49.0,4.0,4.0,2.0,12.0,4.0,4.0,8.0,0.0,0.0,12.0,4.0,4.0
6,120.0,,,,,,,0.031121,0.0,0.0,45.0,0.0,0.0,1.0,53.0,0.0,0.0,1.0,49.0,4.0,4.0,2.0,12.0,4.0,4.0,16.0,0.0,0.0,12.0,4.0,4.0
8,125.0,0.564722,0.0,0.0,,,,0.564722,0.0,0.0,59.0,0.0,0.0,2.0,,,,0.0,59.0,0.0,0.0,2.0,14.0,0.0,0.0,,,,14.0,0.0,0.0
7,125.0,,,,,,,,,,,,,0.0,59.0,0.0,0.0,1.0,59.0,0.0,0.0,1.0,,,,14.0,0.0,0.0,14.0,0.0,0.0
8,130.0,0.381636,0.317143,0.317143,,,,0.381636,0.317143,0.317143,59.0,0.0,0.0,3.0,,,,0.0,59.0,0.0,0.0,3.0,14.0,0.0,0.0,,,,14.0,0.0,0.0
6,130.0,0.037054,0.003586,0.003586,3.395209,0.0,0.0,0.9658562,1.4101439,0.18032,47.3,3.3,0.0,3.0,56.0,3.0,3.0,2.0,50.8,5.3,7.0,5.0,12.2,3.5,2.0,15.0,1.0,1.0,12.2,3.5,2.0
0,130.0,,,,1.054882,1.4394291,0.007172,0.7911615,1.1096262,0.18032,53.0,0.0,0.0,1.0,50.2,5.8,3.5,4.0,50.8,5.3,7.0,5.0,12.2,3.5,2.0,11.2,3.3,3.0,12.2,3.5,2.0
